Gtin;Status;BrandName;TradeItemDescription.LanguageCode;TradeItemDescription.Value;TradeItemDescription.LanguageCode;TradeItemDescription.Value;ProductNetContent.Value;ProductNetContent.MeasureUnit;ProductNetContent.MeasureUnitCode;GpcId;TradeItemUnitDescriptorCode;TradeItemUnitDescriptor;IsTradeItemAConsumerUnit;ChildGtin.Quantity;ChildGtin.Gtin;TargetMarket.CountryCode;TargetMarket.CountryName;TargetMarket.AdditionalTradeItemIdentification;TargetMarket.ExternalProductImageUrl;TargetMarket.CountryCode;TargetMarket.CountryName;TargetMarket.AdditionalTradeItemIdentification;TargetMarket.ExternalProductImageUrl;TargetMarket.CountryCode;TargetMarket.CountryName;TargetMarket.AdditionalTradeItemIdentification;TargetMarket.ExternalProductImageUrl;TargetMarket.CountryCode;TargetMarket.CountryName;TargetMarket.AdditionalTradeItemIdentification;TargetMarket.ExternalProductImageUrl;TargetMarket.CountryCode;TargetMarket.CountryName;TargetMarket.AdditionalTradeItemIdentification;TargetMarket.ExternalProductImageUrl;TargetMarket.CountryCode;TargetMarket.CountryName;TargetMarket.AdditionalTradeItemIdentification;TargetMarket.ExternalProductImageUrl;TargetMarket.CountryCode;TargetMarket.CountryName;TargetMarket.AdditionalTradeItemIdentification;TargetMarket.ExternalProductImageUrl;CreatedDateTime;LastChangeDateTime;EAN;EAN sá?ek;EAN Krabice;Druh položky;Produktová ?ada;Kategorie;Prefix kategorie;Kód kategorie;Podkategorie;Provedení;Kod provedení;Varianta;Odd?lova?;Kód produktu;Prefix Kód produktu;Druh materiálu;Skupina položek AX;Skupina ?ádkové slevy AX;Dodavatel;I?O Dodavatele;Zem? p?vodu;Norma;T?ída materiálu;Pr?m?r;Úhel [°];Váha [kg];Pr?m?r (D) [mm];Tlouš?ka st?ny (T) [mm];Rozm?r;First line engraving;Second line engraving;Third line engraving;Fourth line engraving;Engraving on back filename;GS1 digitallink;L [mm];Rozm?r (L1) [mm];Rozm?r (Z) [mm];Rozm?r (Z1) [mm];Rozm?r (S) [mm];Rozm?r (S1) [mm];Prm. (d) [mm];Po?et d?r (n);Rozm?r (H) ;Rozm?r (D1)  [mm] ;Rozm?r (D2)  [mm] ;Sá?ek ks;Sá?ek jednotka EN;Po?et sá?k? v krabici;Jednotka sacky v krabici EN;Krabice ks;Krabice jednotka EN;UNC obrazek stitek;Popis štítek EN;Popis štítek CZ;Popis štítek CZ bez rozm?ru;Druh zápisu;Název;Zkrácený popis štítek CZ PH;RZZZ; Nákupní cena CN [USD] ;P?vdoní cena;Zdražení;bbb;nár?st;fa;Drawing_url;picture_url;Typ Krabice;Rozm?r Krabice;Rozm?r sá?ku;x11;Objednávka 0;Objednávka krabic 0;1. Objednávka ks;1. Objednávka krabic;1 objednávka cena za položky;Váha zboží 1. objednávky [kg];NC Zboží po Michalovi CZK;Cena dopravy CZK;Cena cla;Základní kalkulace NC sklad;NC po clu a doprave za  3000USD, USD je 24;NC po clu a doprave za  5000USD, USD je 24;NC po clu a doprave za  7000USD, USD je 24;NC po clu a doprave za  10000USD, USD je 24; ARSECO DPC ;Kod ARSECO; ARSECO 50% TENDR ; ARSECO ARENA ; Nákup VO DE EUR ; Nákup VO DE CZK ;Násobek DE vs Nákupní cena CN;Nejlevn?jší na Inet;rozdíl nákup vs internet koeficient;NC priblizebna sklad;Cenik TP316L;PC ARSECO TAVINOX;PC VO1 TAVINOX;Hruba marze PC ARSECO TAVINOX;Hruba marze PC VO1 TAVINOX;2. Objednávka ks;2. Objednávka krabic;3. Objednávka ks;3. Objednávka krabic;4. Objednávka ks;4. Objednávka krabic
08596683001134;DRAFT;TAVINOX;CS;PRESS 316L Oblouk 45° (FxF) 76,1 mm;EN;PRESS 316L Obtuse Elbow 45° (FxF) 76,1 mm;4.0000000000;Kus;H87;10004022;CASE;Krabice, karton;TRUE;4;08596683001127;203;?eská republika;;;703;Slovensko;;;616;Polsko;;;276;N?mecko;;;040;Rakousko;;;348;Ma?arsko;;;804;Ukrajina;;;21.10.2024 18:23:59;21.10.2024 18:34:41;08596683001134;;;Krabice, karton;TP;Oblouk;OB;05;;FxF;FF;11;.;OB11FF.76;OB11FF;N;TVAROVKA;NB_TVAROVKA;NingBo CB Piping System Co., Ltd.;315100;CN;EN 10312;AISI 316L;76;45;;76,1;;76,1 mm;;;;;;;;;;;;;;;;;;;;;;;;;PRESS 316L Obtuse Elbow 45° (FxF);Oblouk 45°;PRESS 316L Oblouk 45° (FxF);;PRESS 316L Oblouk 45° (FxF) 76,1 mm;Oblouk  ;45° (FxF) 76,1 mm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08596683001141;DRAFT;TAVINOX;CS;PRESS 316L Oblouk 45° (FxF) 88,9 mm;EN;PRESS 316L Obtuse Elbow 45° (FxF) 88,9 mm;1.0000000000;Kus;H87;10004022;BASE_UNIT_OR_EACH;Kus, základní balení;TRUE;;;203;?eská republika;;;703;Slovensko;;;616;Polsko;;;276;N?mecko;;;040;Rakousko;;;348;Ma?arsko;;;804;Ukrajina;;;15.10.2024 19:36:13;21.10.2024 18:14:55;08596683001141;08596683001158;08596683001165;Základní položka;TP;Oblouk;OB;05;;FxF;FF;11;.;OB11FF.88;OB11FF;N;TVAROVKA;NB_TVAROVKA;NingBo CB Piping System Co., Ltd.;315100;CN;EN 10312;AISI 316L;88;45;1,15;88,9;2;88,9 mm;<Logo TAVINOX Centered>;TAVINOX;(M)88,9-316L;DVGW;08596683001141.jpg;https://id.tavinox.com/01/08596683001141;129;;71;;;;;;;;;1;pc;2;bags;2;pcs;C:/images/OB11FF_label_drawing.png;PRESS 316L Obtuse Elbow 45° (FxF);Oblouk 45°;PRESS 316L Oblouk 45° (FxF);8;PRESS 316L Oblouk 45° (FxF) 88,9 mm;Oblouk  ;45° (FxF) 88,9 mm; $21,97 ;;;;;;;;A;320x240x170;230x210;;100;50;36;18; $790,92 ;41,40;537,83;19,59;20,62;578,04;567,48;573,98;580,48;590,23; 3 251,89 K? ;16360209; 1 625,95 K? ; 1 544,65 K? ; 49,93 € ; 1 263,23 K? ;219%;;0;578,04 K?;5 202,36 K?;1 300,59 K?;2 289,04 K?;722,55 K?;1 711,00 K?;30;15;32;16;;
08596683001158;DRAFT;TAVINOX;CS;PRESS 316L Oblouk 45° (FxF) 88,9 mm;EN;PRESS 316L Obtuse Elbow 45° (FxF) 88,9 mm;1.0000000000;Kus;H87;10004022;PACK_OR_INNER_PACK;Balení nebo vnit?ní balení;TRUE;1;08596683001141;203;?eská republika;;;703;Slovensko;;;616;Polsko;;;276;N?mecko;;;040;Rakousko;;;348;Ma?arsko;;;804;Ukrajina;;;15.10.2024 19:58:53;21.10.2024 18:23:47;08596683001158;;;Balení nebo vnit?ní balení;TP;Oblouk;OB;05;;FxF;FF;11;.;OB11FF.88;OB11FF;N;TVAROVKA;NB_TVAROVKA;NingBo CB Piping System Co., Ltd.;315100;CN;EN 10312;AISI 316L;88;45;;88,9;;88,9 mm;;;;;;;;;;;;;;;;;;;;;;;;;PRESS 316L Obtuse Elbow 45° (FxF);Oblouk 45°;PRESS 316L Oblouk 45° (FxF);;PRESS 316L Oblouk 45° (FxF) 88,9 mm;Oblouk  ;45° (FxF) 88,9 mm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08596683001165;DRAFT;TAVINOX;CS;PRESS 316L Oblouk 45° (FxF) 88,9 mm;EN;PRESS 316L Obtuse Elbow 45° (FxF) 88,9 mm;2.0000000000;Kus;H87;10004022;CASE;Krabice, karton;TRUE;2;08596683001158;203;?eská republika;;;703;Slovensko;;;616;Polsko;;;276;N?mecko;;;040;Rakousko;;;348;Ma?arsko;;;804;Ukrajina;;;21.10.2024 18:23:59;21.10.2024 18:34:41;08596683001165;;;Krabice, karton;TP;Oblouk;OB;05;;FxF;FF;11;.;OB11FF.88;OB11FF;N;TVAROVKA;NB_TVAROVKA;NingBo CB Piping System Co., Ltd.;315100;CN;EN 10312;AISI 316L;88;45;;88,9;;88,9 mm;;;;;;;;;;;;;;;;;;;;;;;;;PRESS 316L Obtuse Elbow 45° (FxF);Oblouk 45°;PRESS 316L Oblouk 45° (FxF);;PRESS 316L Oblouk 45° (FxF) 88,9 mm;Oblouk  ;45° (FxF) 88,9 mm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08596683001172;DRAFT;TAVINOX;CS;PRESS 316L Oblouk 45° (FxF) 108 mm;EN;PRESS 316L Obtuse Elbow 45° (FxF) 108 mm;1.0000000000;Kus;H87;10004022;BASE_UNIT_OR_EACH;Kus, základní balení;TRUE;;;203;?eská republika;;;703;Slovensko;;;616;Polsko;;;276;N?mecko;;;040;Rakousko;;;348;Ma?arsko;;;804;Ukrajina;;;15.10.2024 19:36:13;21.10.2024 18:14:55;08596683001172;08596683001189;08596683001196;Základní položka;TP;Oblouk;OB;05;;FxF;FF;11;.;OB11FF.108;OB11FF;N;TVAROVKA;NB_TVAROVKA;NingBo CB Piping System Co., Ltd.;315100;CN;EN 10312;AISI 316L;108;45;1,7;108;2;108 mm;<Logo TAVINOX Centered>;TAVINOX;(M)108-316L;DVGW;08596683001172.jpg;https://id.tavinox.com/01/08596683001172;156;;84;;;;;;;;;1;pc;1;bag;1;pc;C:/images/OB11FF_label_drawing.png;PRESS 316L Obtuse Elbow 45° (FxF);Oblouk 45°;PRESS 316L Oblouk 45° (FxF);8;PRESS 316L Oblouk 45° (FxF) 108 mm;Oblouk  ;45° (FxF) 108 mm; $31,20 ;;;;;;;;A;320x240x170;230x210;;100;100;35;35; $1 092,00 ;59,50;763,78;28,96;29,33;822,07;806,45;816,06;825,67;840,08; 5 252,57 K? ;16360210; 2 626,29 K? ; 2 494,97 K? ; 80,65 € ; 2 040,45 K? ;248%;;0;822,07 K?;7 398,59 K?;1 849,65 K?;3 255,38 K?;1 027,58 K?;2 433,32 K?;32;32;32;32;;
08596683001189;DRAFT;TAVINOX;CS;PRESS 316L Oblouk 45° (FxF) 108 mm;EN;PRESS 316L Obtuse Elbow 45° (FxF) 108 mm;1.0000000000;Kus;H87;10004022;PACK_OR_INNER_PACK;Balení nebo vnit?ní balení;TRUE;1;08596683001172;203;?eská republika;;;703;Slovensko;;;616;Polsko;;;276;N?mecko;;;040;Rakousko;;;348;Ma?arsko;;;804;Ukrajina;;;15.10.2024 19:58:53;21.10.2024 18:23:47;08596683001189;;;Balení nebo vnit?ní balení;TP;Oblouk;OB;05;;FxF;FF;11;.;OB11FF.108;OB11FF;N;TVAROVKA;NB_TVAROVKA;NingBo CB Piping System Co., Ltd.;315100;CN;EN 10312;AISI 316L;108;45;;108;;108 mm;;;;;;;;;;;;;;;;;;;;;;;;;PRESS 316L Obtuse Elbow 45° (FxF);Oblouk 45°;PRESS 316L Oblouk 45° (FxF);;PRESS 316L Oblouk 45° (FxF) 108 mm;Oblouk  ;45° (FxF) 108 mm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08596683001196;DRAFT;TAVINOX;CS;PRESS 316L Oblouk 45° (FxF) 108 mm;EN;PRESS 316L Obtuse Elbow 45° (FxF) 108 mm;1.0000000000;Kus;H87;10004022;CASE;Krabice, karton;TRUE;1;08596683001189;203;?eská republika;;;703;Slovensko;;;616;Polsko;;;276;N?mecko;;;040;Rakousko;;;348;Ma?arsko;;;804;Ukrajina;;;21.10.2024 18:23:59;21.10.2024 18:34:41;08596683001196;;;Krabice, karton;TP;Oblouk;OB;05;;FxF;FF;11;.;OB11FF.108;OB11FF;N;TVAROVKA;NB_TVAROVKA;NingBo CB Piping System Co., Ltd.;315100;CN;EN 10312;AISI 316L;108;45;;108;;108 mm;;;;;;;;;;;;;;;;;;;;;;;;;PRESS 316L Obtuse Elbow 45° (FxF);Oblouk 45°;PRESS 316L Oblouk 45° (FxF);;PRESS 316L Oblouk 45° (FxF) 108 mm;Oblouk  ;45° (FxF) 108 mm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08596683001202;DRAFT;TAVINOX;CS;PRESS 316L Oblouk 45° (MxF) 15 mm;EN;PRESS 316L Street Obtuse Elbow 45° (MxF) 15 mm;1.0000000000;Kus;H87;10004022;BASE_UNIT_OR_EACH;Kus, základní balení;TRUE;;;203;?eská republika;;;703;Slovensko;;;616;Polsko;;;276;N?mecko;;;040;Rakousko;;;348;Ma?arsko;;;804;Ukrajina;;;15.10.2024 19:36:13;21.10.2024 18:14:55;08596683001202;08596683001219;08596683001226;Základní položka;TP;Oblouk;OB;05;;MxF;MF;11;.;OB11MF.15;OB11MF;N;TVAROVKA;NB_TVAROVKA;NingBo CB Piping System Co., Ltd.;315100;CN;EN 10312;AISI 316L;15;45;0,041;15;1,5;15 mm;<Logo TAVINOX Centered>;TAVINOX;(M)15-316L;DVGW;08596683001202.jpg;https://id.tavinox.com/01/08596683001202;36;50;16;;;;;;;;;10;pcs;20;bags;200;pcs;C:/images/OB11MF_label_drawing.png;PRESS 316L Street Obtuse Elbow 45° (MxF);Oblouk 45°;PRESS 316L Oblouk 45° (MxF);9;PRESS 316L Oblouk 45° (MxF) 15 mm;Oblouk  ;45° (MxF) 15 mm; $1,07 ;;;;;;;;A;320x240x170;230x210;;400;2;400;2; $428,00 ;16,40;26,19;0,70;1,00;27,89;27,51;27,74;27,97;28,32; 177,34 K? ;16370201; 88,67 K? ; 84,24 K? ; 2,72 € ; 68,82 K? ;247%;;0;27,89 K?;250,98 K?;62,75 K?;110,43 K?;34,86 K?;82,55 K?;200;1;200;1;;
08596683001219;DRAFT;TAVINOX;CS;PRESS 316L Oblouk 45° (MxF) 15 mm;EN;PRESS 316L Street Obtuse Elbow 45° (MxF) 15 mm;10.0000000000;Kus;H87;10004022;PACK_OR_INNER_PACK;Balení nebo vnit?ní balení;TRUE;10;08596683001202;203;?eská republika;;;703;Slovensko;;;616;Polsko;;;276;N?mecko;;;040;Rakousko;;;348;Ma?arsko;;;804;Ukrajina;;;15.10.2024 19:58:53;21.10.2024 18:23:47;08596683001219;;;Balení nebo vnit?ní balení;TP;Oblouk;OB;05;;MxF;MF;11;.;OB11MF.15;OB11MF;N;TVAROVKA;NB_TVAROVKA;NingBo CB Piping System Co., Ltd.;315100;CN;EN 10312;AISI 316L;15;45;;15;;15 mm;;;;;;;x;x;x;;;;;;;;;;;;;;;;PRESS 316L Street Obtuse Elbow 45° (MxF);Oblouk 45°;PRESS 316L Oblouk 45° (MxF);;PRESS 316L Oblouk 45° (MxF) 15 mm;Oblouk  ;45° (MxF) 15 mm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08596683001226;DRAFT;TAVINOX;CS;PRESS 316L Oblouk 45° (MxF) 15 mm;EN;PRESS 316L Street Obtuse Elbow 45° (MxF) 15 mm;200.0000000000;Kus;H87;10004022;CASE;Krabice, karton;TRUE;20;08596683001219;203;?eská republika;;;703;Slovensko;;;616;Polsko;;;276;N?mecko;;;040;Rakousko;;;348;Ma?arsko;;;804;Ukrajina;;;21.10.2024 18:23:59;21.10.2024 18:34:41;08596683001226;;;Krabice, karton;TP;Oblouk;OB;05;;MxF;MF;11;.;OB11MF.15;OB11MF;N;TVAROVKA;NB_TVAROVKA;NingBo CB Piping System Co., Ltd.;315100;CN;EN 10312;AISI 316L;15;45;;15;;15 mm;;;;;;;x;x;x;;;;;;;;;;;;;;;;PRESS 316L Street Obtuse Elbow 45° (MxF);Oblouk 45°;PRESS 316L Oblouk 45° (MxF);;PRESS 316L Oblouk 45° (MxF) 15 mm;Oblouk  ;45° (MxF) 15 mm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08596683001233;DRAFT;TAVINOX;CS;PRESS 316L Oblouk 45° (MxF) 18 mm;EN;PRESS 316L Street Obtuse Elbow 45° (MxF) 18 mm;1.0000000000;Kus;H87;10004022;BASE_UNIT_OR_EACH;Kus, základní balení;TRUE;;;203;?eská republika;;;703;Slovensko;;;616;Polsko;;;276;N?mecko;;;040;Rakousko;;;348;Ma?arsko;;;804;Ukrajina;;;15.10.2024 19:36:13;21.10.2024 18:14:55;08596683001233;08596683001240;08596683001257;Základní položka;TP;Oblouk;OB;05;;MxF;MF;11;.;OB11MF.18;OB11MF;N;TVAROVKA;NB_TVAROVKA;NingBo CB Piping System Co., Ltd.;315100;CN;EN 10312;AISI 316L;18;45;0,059;18;1,5;18 mm;<Logo TAVINOX Centered>;TAVINOX;(M)18-316L;DVGW;08596683001233.jpg;https://id.tavinox.com/01/08596683001233;36;52;16;;;;;;;;;10;pcs;16;bags;160;pcs;C:/images/OB11MF_label_drawing.png;PRESS 316L Street Obtuse Elbow 45° (MxF);Oblouk 45°;PRESS 316L Oblouk 45° (MxF);9;PRESS 316L Oblouk 45° (MxF) 18 mm;Oblouk  ;45° (MxF) 18 mm; $1,17 ;;;;;;;;A;320x240x170;230x210;;320;2;320;2; $374,40 ;18,88;28,64;1,01;1,10;30,74;30,20;30,54;30,87;31,37; 189,30 K? ;16370202; 94,65 K? ; 89,92 K? ; 2,91 € ; 73,62 K? ;239%;;0;30,74 K?;276,69 K?;69,17 K?;121,74 K?;38,43 K?;91,00 K?;160;1;160;1;;
08596683001240;DRAFT;TAVINOX;CS;PRESS 316L Oblouk 45° (MxF) 18 mm;EN;PRESS 316L Street Obtuse Elbow 45° (MxF) 18 mm;10.0000000000;Kus;H87;10004022;PACK_OR_INNER_PACK;Balení nebo vnit?ní balení;TRUE;10;08596683001233;203;?eská republika;;;703;Slovensko;;;616;Polsko;;;276;N?mecko;;;040;Rakousko;;;348;Ma?arsko;;;804;Ukrajina;;;15.10.2024 19:58:53;21.10.2024 18:23:47;08596683001240;;;Balení nebo vnit?ní balení;TP;Oblouk;OB;05;;MxF;MF;11;.;OB11MF.18;OB11MF;N;TVAROVKA;NB_TVAROVKA;NingBo CB Piping System Co., Ltd.;315100;CN;EN 10312;AISI 316L;18;45;;18;;18 mm;;;;;;;x;x;x;;;;;;;;;;;;;;;;PRESS 316L Street Obtuse Elbow 45° (MxF);Oblouk 45°;PRESS 316L Oblouk 45° (MxF);;PRESS 316L Oblouk 45° (MxF) 18 mm;Oblouk  ;45° (MxF) 18 mm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08596683001257;DRAFT;TAVINOX;CS;PRESS 316L Oblouk 45° (MxF) 18 mm;EN;PRESS 316L Street Obtuse Elbow 45° (MxF) 18 mm;160.0000000000;Kus;H87;10004022;CASE;Krabice, karton;TRUE;16;08596683001240;203;?eská republika;;;703;Slovensko;;;616;Polsko;;;276;N?mecko;;;040;Rakousko;;;348;Ma?arsko;;;804;Ukrajina;;;21.10.2024 18:23:59;21.10.2024 18:34:41;08596683001257;;;Krabice, karton;TP;Oblouk;OB;05;;MxF;MF;11;.;OB11MF.18;OB11MF;N;TVAROVKA;NB_TVAROVKA;NingBo CB Piping System Co., Ltd.;315100;CN;EN 10312;AISI 316L;18;45;;18;;18 mm;;;;;;;x;x;x;;;;;;;;;;;;;;;;PRESS 316L Street Obtuse Elbow 45° (MxF);Oblouk 45°;PRESS 316L Oblouk 45° (MxF);;PRESS 316L Oblouk 45° (MxF) 18 mm;Oblouk  ;45° (MxF) 18 mm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08596683001264;ACTIVE;TAVINOX;CS;PRESS 316L Oblouk 45° (MxF) 22 mm;EN;PRESS 316L Street Obtuse Elbow 45° (MxF) 22 mm;1.0000000000;Kus;H87;10004022;BASE_UNIT_OR_EACH;Kus, základní balení;TRUE;;;203;?eská republika;;;703;Slovensko;;;616;Polsko;;;276;N?mecko;;;040;Rakousko;;;348;Ma?arsko;;;804;Ukrajina;;;15.10.2024 19:36:13;21.10.2024 18:14:55;08596683001264;08596683001271;08596683001288;Základní položka;TP;Oblouk;OB;05;;MxF;MF;11;.;OB11MF.22;OB11MF;N;TVAROVKA;NB_TVAROVKA;NingBo CB Piping System Co., Ltd.;315100;CN;EN 10312;AISI 316L;22;45;0,072;22;1,5;22 mm;<Logo TAVINOX Centered>;TAVINOX;(M)22-316L;DVGW;08596683001264.jpg;https://id.tavinox.com/01/08596683001264;42;56;21,5;;;;;;;;;10;pcs;8;bags;80;pcs;C:/images/OB11MF_label_drawing.png;PRESS 316L Street Obtuse Elbow 45° (MxF);Oblouk 45°;PRESS 316L Oblouk 45° (MxF);9;PRESS 316L Oblouk 45° (MxF) 22 mm;Oblouk  ;45° (MxF) 22 mm; $1,53 ;;;;;;;;A;320x240x170;230x210;;320;4;240;3; $367,20 ;17,28;37,45;1,23;1,43;40,11;39,45;39,86;40,26;40,88; 217,45 K? ;16370203; 108,73 K? ; 103,29 K? ; 3,34 € ; 84,50 K? ;211%;;0;40,11 K?;361,01 K?;90,25 K?;158,84 K?;50,14 K?;118,73 K?;240;3;160;2;;
08596683001271;DRAFT;TAVINOX;CS;PRESS 316L Oblouk 45° (MxF) 22 mm;EN;PRESS 316L Street Obtuse Elbow 45° (MxF) 22 mm;10.0000000000;Kus;H87;10004022;PACK_OR_INNER_PACK;Balení nebo vnit?ní balení;TRUE;10;08596683001264;203;?eská republika;;;703;Slovensko;;;616;Polsko;;;276;N?mecko;;;040;Rakousko;;;348;Ma?arsko;;;804;Ukrajina;;;15.10.2024 19:58:53;21.10.2024 18:23:47;08596683001271;;;Balení nebo vnit?ní balení;TP;Oblouk;OB;05;;MxF;MF;11;.;OB11MF.22;OB11MF;N;TVAROVKA;NB_TVAROVKA;NingBo CB Piping System Co., Ltd.;315100;CN;EN 10312;AISI 316L;22;45;;22;;22 mm;;;;;;;x;x;x;;;;;;;;;;;;;;;;PRESS 316L Street Obtuse Elbow 45° (MxF);Oblouk 45°;PRESS 316L Oblouk 45° (MxF);;PRESS 316L Oblouk 45° (MxF) 22 mm;Oblouk  ;45° (MxF) 22 mm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08596683001288;DRAFT;TAVINOX;CS;PRESS 316L Oblouk 45° (MxF) 22 mm;EN;PRESS 316L Street Obtuse Elbow 45° (MxF) 22 mm;80.0000000000;Kus;H87;10004022;CASE;Krabice, karton;TRUE;8;08596683001271;203;?eská republika;;;703;Slovensko;;;616;Polsko;;;276;N?mecko;;;040;Rakousko;;;348;Ma?arsko;;;804;Ukrajina;;;21.10.2024 18:23:59;21.10.2024 18:34:41;08596683001288;;;Krabice, karton;TP;Oblouk;OB;05;;MxF;MF;11;.;OB11MF.22;OB11MF;N;TVAROVKA;NB_TVAROVKA;NingBo CB Piping System Co., Ltd.;315100;CN;EN 10312;AISI 316L;22;45;;22;;22 mm;;;;;;;x;x;x;;;;;;;;;;;;;;;;PRESS 316L Street Obtuse Elbow 45° (MxF);Oblouk 45°;PRESS 316L Oblouk 45° (MxF);;PRESS 316L Oblouk 45° (MxF) 22 mm;Oblouk  ;45° (MxF) 22 mm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08596683001295;DRAFT;TAVINOX;CS;PRESS 316L Oblouk 45° (MxF) 28 mm;EN;PRESS 316L Street Obtuse Elbow 45° (MxF) 28 mm;1.0000000000;Kus;H87;10004022;BASE_UNIT_OR_EACH;Kus, základní balení;TRUE;;;203;?eská republika;;;703;Slovensko;;;616;Polsko;;;276;N?mecko;;;040;Rakousko;;;348;Ma?arsko;;;804;Ukrajina;;;15.10.2024 19:36:13;21.10.2024 18:14:55;08596683001295;08596683001301;08596683001318;Základní položka;TP;Oblouk;OB;05;;MxF;MF;11;.;OB11MF.28;OB11MF;N;TVAROVKA;NB_TVAROVKA;NingBo CB Piping System Co., Ltd.;315100;CN;EN 10312;AISI 316L;28;45;0,109;28;1,5;28 mm;<Logo TAVINOX Centered>;TAVINOX;(M)28-316L;DVGW;08596683001295.jpg;https://id.tavinox.com/01/08596683001295;48;66;25,5;;;;;;;;;5;pcs;10;bags;50;pcs;C:/images/OB11MF_label_drawing.png;PRESS 316L Street Obtuse Elbow 45° (MxF);Oblouk 45°;PRESS 316L Oblouk 45° (MxF);9;PRESS 316L Oblouk 45° (MxF) 28 mm;Oblouk  ;45° (MxF) 28 mm; $1,73 ;;;;;;;;A;320x240x170;230x210;;300;6;150;3; $259,50 ;16,35;42,35;1,86;1,64;45,84;44,84;45,46;46,07;47,00; 268,12 K? ;16370204; 134,06 K? ; 127,36 K? ; 4,12 € ; 104,24 K? ;227%;;0;45,84 K?;412,59 K?;103,15 K?;181,54 K?;57,30 K?;135,69 K?;350;7;300;6;;
08596683001301;DRAFT;TAVINOX;CS;PRESS 316L Oblouk 45° (MxF) 28 mm;EN;PRESS 316L Street Obtuse Elbow 45° (MxF) 28 mm;5.0000000000;Kus;H87;10004022;PACK_OR_INNER_PACK;Balení nebo vnit?ní balení;TRUE;5;08596683001295;203;?eská republika;;;703;Slovensko;;;616;Polsko;;;276;N?mecko;;;040;Rakousko;;;348;Ma?arsko;;;804;Ukrajina;;;15.10.2024 19:58:53;21.10.2024 18:23:47;08596683001301;;;Balení nebo vnit?ní balení;TP;Oblouk;OB;05;;MxF;MF;11;.;OB11MF.28;OB11MF;N;TVAROVKA;NB_TVAROVKA;NingBo CB Piping System Co., Ltd.;315100;CN;EN 10312;AISI 316L;28;45;;28;;28 mm;;;;;;;x;x;x;;;;;;;;;;;;;;;;PRESS 316L Street Obtuse Elbow 45° (MxF);Oblouk 45°;PRESS 316L Oblouk 45° (MxF);;PRESS 316L Oblouk 45° (MxF) 28 mm;Oblouk  ;45° (MxF) 28 mm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08596683001318;DRAFT;TAVINOX;CS;PRESS 316L Oblouk 45° (MxF) 28 mm;EN;PRESS 316L Street Obtuse Elbow 45° (MxF) 28 mm;50.0000000000;Kus;H87;10004022;CASE;Krabice, karton;TRUE;10;08596683001301;203;?eská republika;;;703;Slovensko;;;616;Polsko;;;276;N?mecko;;;040;Rakousko;;;348;Ma?arsko;;;804;Ukrajina;;;21.10.2024 18:23:59;21.10.2024 18:34:41;08596683001318;;;Krabice, karton;TP;Oblouk;OB;05;;MxF;MF;11;.;OB11MF.28;OB11MF;N;TVAROVKA;NB_TVAROVKA;NingBo CB Piping System Co., Ltd.;315100;CN;EN 10312;AISI 316L;28;45;;28;;28 mm;;;;;;;x;x;x;;;;;;;;;;;;;;;;PRESS 316L Street Obtuse Elbow 45° (MxF);Oblouk 45°;PRESS 316L Oblouk 45° (MxF);;PRESS 316L Oblouk 45° (MxF) 28 mm;Oblouk  ;45° (MxF) 28 mm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
